species,sample_size,position,coord,density
rat,1000,0.85,0.004948935713043064,247.39890279327037
rat,1000,0.85,0.005061124112744024,238.42299292528264
rat,1000,0.85,0.005173312512444986,226.5551563069376
rat,1000,0.85,0.005285500912145948,212.098628415699
rat,1000,0.85,0.005397689311846909,195.86815243702753
rat,1000,0.85,0.00550987771154787,179.0212150391263
rat,1000,0.85,0.0056220661112488315,162.77663004048406
rat,1000,0.85,0.005734254510949793,148.11317011595378
rat,1000,0.85,0.005846442910650755,135.56108456916422
rat,1000,0.85,0.0059586313103517155,125.16439744767987
rat,1000,0.85,0.006070819710052677,116.6076627587612
rat,1000,0.85,0.006183008109753639,109.4181919524977
rat,1000,0.85,0.0062951965094546,103.13273756930923
rat,1000,0.85,0.006407384909155561,97.37064191392922
rat,1000,0.85,0.006519573308856523,91.8374916342236
rat,1000,0.85,0.006631761708557484,86.32657913560901
rat,1000,0.85,0.006743950108258445,80.75862868347427
rat,1000,0.85,0.006856138507959407,75.23380456707461
rat,1000,0.85,0.006968326907660368,70.02779685553944
rat,1000,0.85,0.00708051530736133,65.48702374965325
rat,1000,0.85,0.007192703707062291,61.850797211682135
rat,1000,0.85,0.007304892106763252,59.09240189360063
rat,1000,0.85,0.007417080506464214,56.87477381164634
rat,1000,0.85,0.007529268906165175,54.65533838549683
rat,1000,0.85,0.007641457305866136,51.89147293508258
rat,1000,0.85,0.007753645705567098,48.24737741751612
rat,1000,0.85,0.00786583410526806,43.71115713551341
rat,1000,0.85,0.007978022504969021,38.58311832096385
rat,1000,0.85,0.008090210904669982,33.35588695618185
rat,1000,0.85,0.008202399304370944,28.54401991462984
rat,1000,0.85,0.008314587704071905,24.527244020019765
rat,1000,0.85,0.008426776103772866,21.45571267574963
rat,1000,0.85,0.008538964503473828,19.239104242974943
rat,1000,0.85,0.008651152903174789,17.61215632154707
rat,1000,0.85,0.008763341302875751,16.24474311766618
rat,1000,0.85,0.008875529702576712,14.853230339954628
rat,1000,0.85,0.008987718102277673,13.2762107931051
rat,1000,0.85,0.009099906501978634,11.497312247574296
rat,1000,0.85,0.009212094901679596,9.619151249081643
rat,1000,0.85,0.009324283301380557,7.806191448925493
rat,1000,0.85,0.00943647170108152,6.218650815330138
rat,1000,0.85,0.00954866010078248,4.958275865994411
rat,1000,0.85,0.00966084850048344,4.042006014424975
rat,1000,0.85,0.009773036900184403,3.4103567795347236
rat,1000,0.85,0.009885225299885364,2.9639766630173203
rat,1000,0.85,0.009997413699586325,2.6095001908368802
rat,1000,0.85,0.010109602099287287,2.292284589335244
rat,1000,0.85,0.010221790498988248,2.002326677137146
rat,1000,0.85,0.010333978898689209,1.755687266739645
rat,1000,0.85,0.010446167298390171,1.5669050571399665
rat,1000,0.85,0.010558355698091132,1.430256752884241
rat,1000,0.85,0.010670544097792094,1.3191857379202763
rat,1000,0.85,0.010782732497493055,1.2006883673321358
rat,1000,0.85,0.010894920897194016,1.0532787211827748
rat,1000,0.85,0.011007109296894978,0.877462894490793
rat,1000,0.85,0.011119297696595939,0.6944007481826999
rat,1000,0.85,0.0112314860962969,0.5359266541808814
rat,1000,0.85,0.011343674495997862,0.4325059771504356
rat,1000,0.85,0.011455862895698823,0.40414486712347253
rat,1000,0.85,0.011568051295399786,0.45555597436061485
rat,1000,0.85,0.011680239695100746,0.5745621620808367
rat,1000,0.85,0.011792428094801707,0.733106967426566
rat,1000,0.85,0.01190461649450267,0.8917413343173779
rat,1000,0.85,0.01201680489420363,1.008486622458583
rat,1000,0.85,0.012128993293904591,1.0506204940993666
rat,10000,1.85,0.0005963459102642508,70.61986676467674
rat,10000,1.85,0.0006264001639560594,94.02396096537406
rat,10000,1.85,0.0006564544176478679,121.98804581572865
rat,10000,1.85,0.0006865086713396765,154.62326006043213
rat,10000,1.85,0.0007165629250314851,191.93877287883345
rat,10000,1.85,0.0007466171787232937,233.8468407283884
rat,10000,1.85,0.0007766714324151023,280.15052481869486
rat,10000,1.85,0.0008067256861069109,330.50903508243954
rat,10000,1.85,0.0008367799397987195,384.38652427965997
rat,10000,1.85,0.000866834193490528,441.0006205971206
rat,10000,1.85,0.0008968884471823366,499.2921540501705
rat,10000,1.85,0.0009269427008741452,557.9348130278363
rat,10000,1.85,0.0009569969545659537,615.393999771015
rat,10000,1.85,0.0009870512082577625,670.0319054265459
rat,10000,1.85,0.001017105461949571,720.2452307452743
rat,10000,1.85,0.0010471597156413797,764.6158445365645
rat,10000,1.85,0.0010772139693331882,802.0534005630926
rat,10000,1.85,0.0011072682230249967,831.9109194010375
rat,10000,1.85,0.0011373224767168054,854.0570923264903
rat,10000,1.85,0.001167376730408614,868.8909087657665
rat,10000,1.85,0.0011974309841004224,877.2861245901597
rat,10000,1.85,0.0012274852377922312,880.459072503222
rat,10000,1.85,0.0012575394914840397,879.7676844320782
rat,10000,1.85,0.0012875937451758482,876.472002778539
rat,10000,1.85,0.001317647998867657,871.508638427091
rat,10000,1.85,0.0013477022525594654,865.3401518194981
rat,10000,1.85,0.001377756506251274,857.9252020386458
rat,10000,1.85,0.0014078107599430826,848.8185482660455
rat,10000,1.85,0.0014378650136348912,837.3667317897238
rat,10000,1.85,0.0014679192673266997,822.9353733187013
rat,10000,1.85,0.0014979735210185084,805.1000753892595
rat,10000,1.85,0.001528027774710317,783.753653443942
rat,10000,1.85,0.0015580820284021254,759.1157583501546
rat,10000,1.85,0.0015881362820939341,731.66275962653
rat,10000,1.85,0.0016181905357857426,702.0166104705795
rat,10000,1.85,0.0016482447894775514,670.8375521025328
rat,10000,1.85,0.0016782990431693599,638.7565540264577
rat,10000,1.85,0.0017083532968611684,606.3615961922998
rat,10000,1.85,0.001738407550552977,574.2240018211388
rat,10000,1.85,0.0017684618042447856,542.9287925423153
rat,10000,1.85,0.0017985160579365941,513.0689252848671
rat,10000,1.85,0.0018285703116284028,485.1824249285912
rat,10000,1.85,0.0018586245653202113,459.6459750870849
rat,10000,1.85,0.0018886788190120199,436.56983913995384
rat,10000,1.85,0.0019187330727038286,415.7479481384871
rat,10000,1.85,0.001948787326395637,396.6961827691779
rat,10000,1.85,0.001978841580087446,378.7713145072265
rat,10000,1.85,0.002008895833779254,361.3251241258
rat,10000,1.85,0.002038950087471063,343.83427348371345
rat,10000,1.85,0.0020690043411628715,325.96382290335083
rat,10000,1.85,0.0020990585948546803,307.55961844622095
rat,10000,1.85,0.0021291128485464886,288.599732183731
rat,10000,1.85,0.0021591671022382973,269.148302084881
rat,10000,1.85,0.0021892213559301056,249.3415165152205
rat,10000,1.85,0.0022192756096219143,229.4062537339354
rat,10000,1.85,0.002249329863313723,209.68589866222837
rat,10000,1.85,0.0022793841170055317,190.6397852133921
rat,10000,1.85,0.00230943837069734,172.79531625565352
rat,10000,1.85,0.0023394926243891488,156.65638454677395
rat,10000,1.85,0.002369546878080957,142.5946814859906
rat,10000,1.85,0.0023996011317727658,130.7610225662269
rat,10000,1.85,0.0024296553854645745,121.04827482042646
rat,10000,1.85,0.0024597096391563832,113.11939933653919
rat,10000,1.85,0.002489763892848192,106.49151673390419
rat,10000,1.85,0.0025198181465400002,100.64857607863954
rat,10000,1.85,0.0025498724002318085,95.14762188600842
rat,10000,1.85,0.0025799266539236173,89.68887475871415
rat,10000,1.85,0.002609980907615426,84.13504923716916
rat,10000,1.85,0.0026400351613072347,78.48412221123978
rat,10000,1.85,0.0026700894149990434,72.81480623599604
rat,10000,1.85,0.002700143668690852,67.22993768217654
rat,10000,1.85,0.00273019792238266,61.8184780332506
