species,distribution,sample_idx,r_arith,r_eff,wasserstein
rat,fatiguelife,14,0.24239437517294396,0.4337419995090353,0.006741628488416758
rat,fatiguelife,15,0.2298748628931696,0.38493556958237973,0.008847543956118769
rat,fatiguelife,16,0.26403825076056675,0.48371459944241013,0.003968386835632622
rat,fatiguelife,17,0.21508358224908095,0.3465486588413166,0.0074939753801529525
rat,fatiguelife,18,0.20608233576985951,0.3348546625185497,0.007000157394315154
rat,lognorm,0,0.23544330781379572,0.4383204180519632,0.007752306180172845
rat,lognorm,1,0.2990506890049202,0.642814339322619,0.00667586469286518
rat,lognorm,2,0.2416024049854111,0.4720859178176468,0.007743327816790631
rat,lognorm,3,0.28095653772168916,0.5824928357742034,0.010244393080775203
rat,lognorm,4,0.2487582727656753,0.4532741800796606,0.007253683845322975
rat,lognorm,5,0.29725089535124255,0.6491752424437119,0.0032361300209025044
rat,lognorm,6,0.30081927699822175,0.5698673642920395,0.00656324736300113
rat,lognorm,7,0.21707138005056104,0.38818627207773587,0.005564697528941681
rat,lognorm,8,0.259931114452824,0.4772631622452358,0.0032720595949925282
rat,lognorm,9,0.23577881568821352,0.42361375021356656,0.005247782119752493
rat,lognorm,10,0.22855617730015843,0.4046669621399497,0.007153782485030177
rat,lognorm,11,0.2305953685421973,0.46418820250263243,0.00501456131789321
rat,lognorm,12,0.2677318279718245,0.5063081149502952,0.004018744520954575
rat,lognorm,13,0.2341598877604836,0.4805098244340734,0.004040658404926275
rat,lognorm,14,0.24350701355559795,0.45832016071569687,0.006479433032349338
rat,lognorm,15,0.2310851709166414,0.4007173820630265,0.008434354079578373
rat,lognorm,16,0.2646854301506218,0.5114307877125222,0.0035909324137161024
rat,lognorm,17,0.21604798698795596,0.35771178589434904,0.007130873348206522
rat,lognorm,18,0.20699692211121004,0.346174653555896,0.006738827870161359
rat,fisk,0,0.24075692262420004,0.6349434960402993,0.010609150597678436
rat,fisk,1,0.2980263753449767,0.7903273983907164,0.007753598541531466
rat,fisk,2,0.2470783654887689,0.6733144509935333,0.010916162447873676
rat,fisk,3,0.27983927446049145,0.7327895816240092,0.003268948649695589
rat,fisk,4,0.2536591341506026,0.6358343927097883,0.009338286296759103
rat,fisk,5,0.2993729165586498,0.8123107713472416,0.011776993656418794
rat,fisk,6,0.3004110499584891,0.7156994071108418,0.00317975191002813
rat,fisk,7,0.22125886300699926,0.5812148360821687,0.008240890314980058
rat,fisk,8,0.26200516328064466,0.6495400381532275,0.00447257407973119
rat,fisk,9,0.2397183332552169,0.6080137438391916,0.007665296581730455
rat,fisk,10,0.23357467318808955,0.5935263837870243,0.009863994993234827
rat,fisk,11,0.23477817266930298,0.671587727908089,0.008416879232630264
rat,fisk,12,0.27103602781792874,0.6831481981498151,0.007162561077489938
rat,fisk,13,0.23793699298268678,0.6872834961575428,0.007905671780827043
rat,fisk,14,0.24847710916750249,0.6551569967486159,0.009957358817656177
rat,fisk,15,0.23656066990154342,0.5811330420361857,0.010585086413498196
rat,fisk,16,0.2681780072895721,0.6957472881318825,0.008097560656582124
rat,fisk,17,0.22055280059383311,0.5237855621570235,0.008632922540376831
rat,fisk,18,0.21125397859147726,0.5162280917021413,0.008502275640586544
rat,gamma,0,0.2342370275815617,0.3679258487459147,0.0013291644880674201
rat,gamma,1,0.2995668693324815,0.5303825960976762,0.01687215449160581
rat,gamma,2,0.24030572235705266,0.38844532745386406,0.0009576130670464605
rat,gamma,3,0.282201667880027,0.4918698399313031,0.018585034180937304
rat,gamma,4,0.24758948556363,0.3844302819231814,0.0012018692466642562
rat,gamma,5,0.29684147828882324,0.525068394514188,0.010703593448404594
rat,gamma,6,0.3013382882228478,0.49238493982658027,0.014727111017606624
rat,gamma,7,0.21620681348615517,0.33296814347871645,0.0008452330806418093
rat,gamma,8,0.25965750165658297,0.41108903348545706,0.007483482629625123
rat,gamma,9,0.23504214133584928,0.3642077137478336,0.0026014180557937727
rat,gamma,10,0.22752072155513145,0.34736666888554435,0.0013190103376191694
rat,gamma,11,0.22965314823594646,0.3797475317100371,0.0029662036823471915
rat,gamma,12,0.2671492550593783,0.4288559292842934,0.005601155134047599
rat,gamma,13,0.23324829632217708,0.3903612279753777,0.004164338900912268
rat,gamma,14,0.2424323510153148,0.3844588880124262,0.0008357009016811516
rat,gamma,15,0.2299331851681885,0.34579407776679194,0.002566364495165949
rat,gamma,16,0.2640373114221315,0.4288964217061079,0.005153355496445407
rat,gamma,17,0.21514413647545033,0.31519159407137526,0.001983651860487465
rat,gamma,18,0.20613973817025072,0.3040943899875621,0.0019343300194079663
