species,distribution,pdf_x,pdf_val
human,genextreme,8.660671342685372,5.036794991042148e-05
human,genextreme,8.700651302605213,4.9483796017118906e-05
human,genextreme,8.740631262525051,4.8619035335566805e-05
human,genextreme,8.780611222444891,4.777315830840309e-05
human,genextreme,8.820591182364732,4.694567095892511e-05
human,genextreme,8.86057114228457,4.61360943482589e-05
human,genextreme,8.90055110220441,4.534396405373282e-05
human,genextreme,8.94053106212425,4.456882966754067e-05
human,genextreme,8.98051102204409,4.3810254314819037e-05
human,genextreme,9.02049098196393,4.3067814190307506e-05
human,genextreme,9.06047094188377,4.234109811279776e-05
human,genextreme,9.10045090180361,4.162970709661573e-05
human,genextreme,9.140430861723448,4.0933253939414685e-05
human,genextreme,9.180410821643289,4.025136282559374e-05
human,genextreme,9.220390781563129,3.9583668944683965e-05
human,genextreme,9.260370741482967,3.8929818124077544e-05
human,genextreme,9.300350701402808,3.8289466475503135e-05
human,genextreme,9.340330661322648,3.7662280054676294e-05
human,genextreme,9.380310621242486,3.70479345335842e-05
human,genextreme,9.420290581162327,3.644611488488083e-05
human,genextreme,9.460270541082167,3.585651507790202e-05
human,genextreme,9.500250501002006,3.527883778582209e-05
human,genextreme,9.540230460921846,3.4712794103502955e-05
human,genextreme,9.580210420841686,3.415810327560145e-05
human,genextreme,9.620190380761525,3.3614492434523036e-05
human,genextreme,9.660170340681365,3.3081696347825834e-05
human,genextreme,9.700150300601205,3.2559457174698785e-05
human,genextreme,9.740130260521044,3.204752423115121e-05
human,genextreme,9.780110220440884,3.154565376357067e-05
human,genextreme,9.820090180360724,3.1053608730316915e-05
human,genextreme,9.860070140280563,3.057115859103717e-05
human,genextreme,9.900050100200403,3.0098079103399936e-05
human,genextreme,9.940030060120243,2.963415212695799e-05
human,genextreme,9.980010020040082,2.9179165433863894e-05
human,genextreme,10.019989979959922,2.873291252617237e-05
human,genextreme,10.059969939879762,2.8295192459476046e-05
human,genextreme,10.0999498997996,2.786580967263134e-05
human,genextreme,10.139929859719441,2.744457382334027e-05
human,genextreme,10.179909819639281,2.7031299629368286e-05
human,genextreme,10.21988977955912,2.662580671517969e-05
human,genextreme,10.25986973947896,2.6227919463789572e-05
human,genextreme,10.2998496993988,2.5837466873634073e-05
human,genextreme,10.339829659318639,2.5454282420270422e-05
human,genextreme,10.379809619238479,2.5078203922727008e-05
human,genextreme,10.41978957915832,2.4709073414329805e-05
human,genextreme,10.459769539078158,2.4346737017839184e-05
human,genextreme,10.499749498997998,2.3991044824737534e-05
human,genextreme,10.539729458917838,2.3641850778515166e-05
human,genextreme,10.579709418837677,2.329901256180736e-05
human,genextreme,10.619689378757517,2.296239148724238e-05
human,genextreme,10.659669338677357,2.2631852391864395e-05
human,genextreme,10.699649298597196,2.230726353500246e-05
human,genextreme,10.739629258517036,2.1988496499460218e-05
human,genextreme,10.779609218436876,2.1675426095907203e-05
human,genextreme,10.819589178356715,2.136793027035642e-05
human,genextreme,10.859569138276555,2.1065890014617875e-05
human,genextreme,10.899549098196395,2.076918927962287e-05
human,genextreme,10.939529058116234,2.0477714891514852e-05
human,genextreme,10.979509018036074,2.0191356470411942e-05
human,genextreme,11.019488977955914,1.991000635174418e-05
human,genextreme,11.059468937875753,1.9633559510076992e-05
human,genextreme,11.099448897795593,1.936191348533244e-05
human,genextreme,11.139428857715433,1.909496831132613e-05
human,genextreme,11.179408817635272,1.8832626446536838e-05
human,genextreme,11.219388777555112,1.8574792707034554e-05
human,genextreme,11.259368737474952,1.8321374201490005e-05
human,genextreme,11.299348697394791,1.8072280268195092e-05
human,genextreme,11.339328657314631,1.7827422414025007e-05
human,genextreme,11.379308617234472,1.7586714255276093e-05
human,genextreme,11.41928857715431,1.7350071460314813e-05
human,genextreme,11.45926853707415,1.7117411693977326e-05
human,genextreme,11.49924849699399,1.6888654563659502e-05
human,genextreme,11.53922845691383,1.6663721567040943e-05
human,genextreme,11.57920841683367,1.6442536041388482e-05
human,genextreme,11.61918837675351,1.6225023114385038e-05
human,genextreme,11.65916833667335,1.601110965643444e-05
human,genextreme,11.699148296593188,1.5800724234392107e-05
human,genextreme,11.739128256513029,1.5593797066674542e-05
human,genextreme,11.779108216432869,1.5390259979702466e-05
human,genextreme,11.819088176352707,1.5190046365633392e-05
human,genextreme,11.859068136272548,1.499309114134089e-05
human,genextreme,11.899048096192388,1.4799330708601026e-05
human,genextreme,11.939028056112226,1.4608702915445042e-05
human,genextreme,11.979008016032067,1.4421147018641818e-05
human,genextreme,12.018987975951907,1.4236603647272436e-05
human,genextreme,12.058967935871745,1.405501476736227e-05
human,genextreme,12.098947895791586,1.3876323647536279e-05
human,genextreme,12.138927855711426,1.3700474825664653e-05
human,genextreme,12.178907815631264,1.3527414076467467e-05
human,genextreme,12.218887775551105,1.3357088380047588e-05
human,genextreme,12.258867735470945,1.318944589132185e-05
human,genextreme,12.298847695390783,1.302443591032332e-05
human,genextreme,12.338827655310624,1.2862008853345638e-05
human,genextreme,12.378807615230464,1.2702116224904212e-05
human,genextreme,12.418787575150303,1.25447105904878e-05
human,genextreme,12.458767535070143,1.2389745550076329e-05
human,genextreme,12.498747494989983,1.2237175712400628e-05
human,genextreme,12.538727454909822,1.2086956669921424e-05
human,genextreme,12.578707414829662,1.1939044974504862e-05
human,genextreme,12.618687374749502,1.179339811377361e-05
human,genextreme,12.65866733466934,1.1649974488112483e-05
human,genextreme,12.69864729458918,1.1508733388307932e-05
human,genextreme,12.738627254509021,1.1369634973803425e-05
human,genextreme,12.77860721442886,1.1232640251550297e-05
human,genextreme,12.8185871743487,1.1097711055437233e-05
human,genextreme,12.85856713426854,1.0964810026280054e-05
human,genextreme,12.898547094188379,1.0833900592355485e-05
human,genextreme,12.938527054108219,1.0704946950461888e-05
human,genextreme,12.97850701402806,1.0577914047491647e-05
human,genextreme,13.018486973947898,1.0452767562499773e-05
human,genextreme,13.058466933867738,1.0329473889253528e-05
human,genextreme,13.098446893787578,1.0208000119249425e-05
human,genextreme,13.138426853707417,1.0088314025183158e-05
human,genextreme,13.178406813627257,9.970384044859295e-06
human,genextreme,13.218386773547097,9.854179265527887e-06
human,genextreme,13.258366733466936,9.739669408635033e-06
human,genextreme,13.298346693386776,9.626824814975794e-06
human,genextreme,13.338326653306616,9.515616430237336e-06
human,genextreme,13.378306613226455,9.406015790920894e-06
human,genextreme,13.418286573146295,9.297995010631857e-06
human,genextreme,13.458266533066135,9.191526766726917e-06
human,genextreme,13.498246492985974,9.086584287308429e-06
human,genextreme,13.538226452905814,8.983141338555375e-06
human,genextreme,13.578206412825654,8.881172212381991e-06
human,genextreme,13.618186372745493,8.780651714413859e-06
human,genextreme,13.658166332665333,8.681555152273183e-06
human,genextreme,13.698146292585173,8.583858324163879e-06
human,genextreme,13.738126252505012,8.48753750774823e-06
human,genextreme,13.778106212424852,8.392569449306655e-06
human,genextreme,13.818086172344692,8.298931353173012e-06
human,genextreme,13.85806613226453,8.20660087143711e-06
human,genextreme,13.898046092184371,8.115556093907272e-06
human,genextreme,13.938026052104211,8.025775538325749e-06
human,genextreme,13.97800601202405,7.937238140829548e-06
human,genextreme,14.01798597194389,7.849923246650374e-06
human,genextreme,14.05796593186373,7.763810601046328e-06
human,genextreme,14.097945891783569,7.678880340459832e-06
human,genextreme,14.13792585170341,7.595112983894698e-06
human,genextreme,14.17790581162325,7.51248942450692e-06
human,genextreme,14.21788577154309,7.4309909214028456e-06
human,genextreme,14.257865731462928,7.350599091639492e-06
human,genextreme,14.297845691382769,7.271295902421276e-06
human,genextreme,14.337825651302609,7.19306366348748e-06
human,genextreme,14.377805611222447,7.115885019686104e-06
human,genextreme,14.417785571142288,7.039742943728146e-06
human,genextreme,14.457765531062128,6.964620729118082e-06
human,genextreme,14.497745490981966,6.890501983255362e-06
human,genextreme,14.537725450901807,6.817370620702839e-06
human,genextreme,14.577705410821647,6.745210856616947e-06
human,genextreme,14.617685370741485,6.674007200336143e-06
human,genextreme,14.657665330661326,6.603744449122569e-06
human,genextreme,14.697645290581166,6.5344076820535e-06
human,genextreme,14.737625250501004,6.465982254058396e-06
human,genextreme,14.777605210420845,6.398453790097398e-06
human,genextreme,14.817585170340685,6.331808179478134e-06
human,genextreme,14.857565130260523,6.266031570306732e-06
human,genextreme,14.897545090180364,6.201110364069741e-06
human,genextreme,14.937525050100204,6.13703121034328e-06
human,genextreme,14.977505010020042,6.073781001626595e-06
human,genextreme,15.017484969939883,6.0113468682962215e-06
human,genextreme,15.057464929859723,5.949716173678e-06
human,genextreme,15.097444889779561,5.888876509233713e-06
human,genextreme,15.137424849699402,5.828815689859526e-06
human,genextreme,15.177404809619242,5.769521749293209e-06
human,genextreme,15.21738476953908,5.710982935627342e-06
human,genextreme,15.25736472945892,5.653187706926085e-06
human,genextreme,15.297344689378761,5.5961247269423375e-06
human,genextreme,15.3373246492986,5.539782860933318e-06
human,genextreme,15.37730460921844,5.484151171571536e-06
human,genextreme,15.41728456913828,5.429218914949143e-06
human,genextreme,15.457264529058119,5.3749755366730934e-06
human,genextreme,15.497244488977959,5.321410668048736e-06
human,genextreme,15.537224448897799,5.268514122350002e-06
human,genextreme,15.577204408817638,5.216275891173482e-06
human,genextreme,15.617184368737478,5.164686140874785e-06
human,genextreme,15.657164328657318,5.113735209084755e-06
human,genextreme,15.697144288577157,5.063413601303787e-06
human,genextreme,15.737124248496997,5.013711987572192e-06
human,genextreme,15.777104208416837,4.964621199214779e-06
human,genextreme,15.817084168336676,4.916132225657805e-06
human,genextreme,15.857064128256516,4.86823621131641e-06
human,genextreme,15.897044088176356,4.82092445255108e-06
human,genextreme,15.937024048096195,4.7741883946910146e-06
human,genextreme,15.977004008016035,4.728019629123213e-06
human,genextreme,16.016983967935875,4.682409890445427e-06
human,genextreme,16.056963927855712,4.637351053681297e-06
human,genextreme,16.096943887775552,4.592835131556616e-06
human,genextreme,16.136923847695392,4.548854271834672e-06
human,genextreme,16.176903807615233,4.505400754709707e-06
human,genextreme,16.216883767535073,4.462466990256801e-06
human,genextreme,16.25686372745491,4.420045515937042e-06
human,genextreme,16.29684368737475,4.378128994156372e-06
human,genextreme,16.33682364729459,4.33671020987714e-06
human,genextreme,16.37680360721443,4.295782068280908e-06
human,genextreme,16.41678356713427,4.255337592481303e-06
human,genextreme,16.45676352705411,4.2153699212857855e-06
human,genextreme,16.496743486973948,4.175872307005164e-06
human,genextreme,16.536723446893788,4.136838113309657e-06
human,genextreme,16.57670340681363,4.0982608131305365e-06
human,genextreme,16.61668336673347,4.060133986606127e-06
human,genextreme,16.65666332665331,4.0224513190711585e-06
human,genextreme,16.69664328657315,3.9852065990886686e-06
human,genextreme,16.736623246492986,3.9483937165230384e-06
human,genextreme,16.776603206412826,3.912006660653607e-06
human,genextreme,16.816583166332666,3.876039518327737e-06
human,genextreme,16.856563126252507,3.8404864721523515e-06
human,genextreme,16.896543086172347,3.8053417987232243e-06
